,방송일시,hour,ampm,마더코드,상품코드,상품명,상품군,판매단가,노출시간,취급액,판매개수,date,month,rate,weekday,min_c,max_c,rain,snow,PM,state
3552,2019-04-08,0,AM,100205,200731,보루네오 루나 유로탑 멀티수납형 LED 침대 K 킹,가구,648000,20.0,12693000.0,20.0,2019-04-08,4.0,0.018000000000000002,월,7.6,17.2,0.0,0.0,36.8,보통
3553,2019-04-08,0,AM,100205,200732,보루네오 루나 유로탑 멀티수납형 LED 침대 Q 퀸,가구,598000,20.0,21719000.0,37.0,2019-04-08,4.0,0.018000000000000002,월,7.6,17.2,0.0,0.0,36.8,보통
3554,2019-04-08,0,AM,100205,200733,보루네오 루나 유로탑 멀티수납형 LED 침대 SS 슈퍼싱글,가구,548000,20.0,22949000.0,42.0,2019-04-08,4.0,0.018000000000000002,월,7.6,17.2,0.0,0.0,36.8,보통
3505,2019-04-08,1,AM,100074,201008,비버리힐스폴로클럽 남성기초세트(골드+플라),이미용,39800,34.666666666666664,31369000.0,789.0,2019-04-08,4.0,0.016,월,7.6,17.2,0.0,0.0,36.8,보통
3506,2019-04-08,1,AM,100182,200612,무이자 선일금고 이볼브 시리즈 EV-020,생활용품,440000,20.0,1550000.0,4.0,2019-04-08,4.0,0.016,월,7.6,17.2,0.0,0.0,36.8,보통
3507,2019-04-08,1,AM,100182,200613,무이자 선일금고 이볼브 시리즈 EV-040,생활용품,490000,20.0,13379000.0,28.0,2019-04-08,4.0,0.016,월,7.6,17.2,0.0,0.0,36.8,보통
3508,2019-04-08,1,AM,100182,200614,일시불 선일금고 이볼브 시리즈 EV-020,생활용품,400000,20.0,1410000.0,4.0,2019-04-08,4.0,0.016,월,7.6,17.2,0.0,0.0,36.8,보통
3509,2019-04-08,1,AM,100182,200615,일시불 선일금고 이볼브 시리즈 EV-040,생활용품,450000,20.0,21500000.0,48.0,2019-04-08,4.0,0.016,월,7.6,17.2,0.0,0.0,36.8,보통
3515,2019-04-08,6,AM,100226,200785,가)세렌셉템버 다이아 체크 리빙박스+압축팩,생활용품,59800,60.0,47962000.0,803.0,2019-04-08,4.0,0.005,월,7.6,17.2,0.0,0.0,36.8,보통
3517,2019-04-08,7,AM,100596,201828,컬럼비아 남성 베이스레이어 5종,속옷,79000,60.0,37593000.0,476.0,2019-04-08,4.0,0.015,월,7.6,17.2,0.0,0.0,36.8,보통
3518,2019-04-08,7,AM,100596,201830,컬럼비아 여성 베이스레이어 5종,속옷,69000,60.0,18217000.0,265.0,2019-04-08,4.0,0.015,월,7.6,17.2,0.0,0.0,36.8,보통
3521,2019-04-08,8,AM,100335,201046,더블유베일 소프트 마카롱 니트 5종,의류,59000,60.0,40802000.0,692.0,2019-04-08,4.0,0.017,월,7.6,17.2,0.0,0.0,36.8,보통
3524,2019-04-08,9,AM,100347,201084,스피드랙 베이직 4단,생활용품,78000,60.0,8351000.0,108.0,2019-04-08,4.0,0.036000000000000004,월,7.6,17.2,0.0,0.0,36.8,보통
3525,2019-04-08,9,AM,100347,201086,스피드랙 베이직 4단 1+1,생활용품,118000,60.0,57281000.0,486.0,2019-04-08,4.0,0.036000000000000004,월,7.6,17.2,0.0,0.0,36.8,보통
3534,2019-04-08,10,AM,100837,202466,무이자 쿠쿠전기밥솥 10인용,주방,218000,60.0,38251000.0,176.0,2019-04-08,4.0,0.013999999999999999,월,7.6,17.2,0.0,0.0,36.8,보통
3535,2019-04-08,10,AM,100837,202469,무이자 쿠쿠전기밥솥 6인용,주방,208000,60.0,14074000.0,68.0,2019-04-08,4.0,0.013999999999999999,월,7.6,17.2,0.0,0.0,36.8,보통
3536,2019-04-08,10,AM,100837,202472,일시불  쿠쿠전기밥솥 6인용,주방,198000,60.0,8994000.0,46.0,2019-04-08,4.0,0.013999999999999999,월,7.6,17.2,0.0,0.0,36.8,보통
3537,2019-04-08,10,AM,100837,202479,일시불 쿠쿠전기밥솥 10인용,주방,208000,60.0,26447000.0,128.0,2019-04-08,4.0,0.013999999999999999,월,7.6,17.2,0.0,0.0,36.8,보통
3544,2019-04-08,11,AM,100489,201470,삭루츠 버켓 백(TQ18),잡화,52000,60.0,42572000.0,819.0,2019-04-08,4.0,0.027999999999999997,월,7.6,17.2,0.0,0.0,36.8,보통
3545,2019-04-08,11,AM,100489,201471,삭루츠 크로스바디 백(TQ12),잡화,44000,60.0,56912000.0,1294.0,2019-04-08,4.0,0.027999999999999997,월,7.6,17.2,0.0,0.0,36.8,보통
3546,2019-04-08,11,AM,100489,201475,삭루츠 투 웨이 백팩(TQ55),잡화,69000,60.0,48892000.0,709.0,2019-04-08,4.0,0.027999999999999997,월,7.6,17.2,0.0,0.0,36.8,보통
3555,2019-04-08,12,PM,100305,200989,오모떼 프런트후크 프레쉬 데오브라 시즌3,속옷,89000,60.0,70312000.0,791.0,2019-04-08,4.0,0.026000000000000002,월,7.6,17.2,0.0,0.0,36.8,보통
3510,2019-04-08,13,PM,100569,201670,스텔라테일러 컴포트 스트레치 팬츠 3종,의류,39800,60.0,63036000.0,1584.0,2019-04-08,4.0,0.017,월,7.6,17.2,0.0,0.0,36.8,보통
3511,2019-04-08,14,PM,100517,201584,해피콜  IH 진공 스텐 냄비 에디션,주방,119000,60.0,69503000.0,585.0,2019-04-08,4.0,0.013000000000000001,월,7.6,17.2,0.0,0.0,36.8,보통
3512,2019-04-08,15,PM,100231,200819,키친플라워 대용량 디지털 에어프라이어 5L,주방,89800,60.0,81116000.0,904.0,2019-04-08,4.0,0.0,월,7.6,17.2,0.0,0.0,36.8,보통
3513,2019-04-08,16,PM,100253,200864,안동간고등어 20팩,농수축,30900,60.0,114034000.0,3691.0,2019-04-08,4.0,0.013000000000000001,월,7.6,17.2,0.0,0.0,36.8,보통
3514,2019-04-08,17,PM,100849,202510,멋진밥상 흥양농협 쌀 20kg,농수축,59900,60.0,134463000.0,2245.0,2019-04-08,4.0,0.013000000000000001,월,7.6,17.2,0.0,0.0,36.8,보통
3516,2019-04-08,18,PM,100074,200200,비버리힐스폴로클럽 남성기초세트(골드+플라),이미용,39800,60.0,77938000.0,1959.0,2019-04-08,4.0,0.024,월,7.6,17.2,0.0,0.0,36.8,보통
3519,2019-04-08,19,PM,100251,200845,K-SWISS 남성에어핏트랙수트,의류,89000,60.0,101446000.0,1140.0,2019-04-08,4.0,0.031,월,7.6,17.2,0.0,0.0,36.8,보통
3520,2019-04-08,19,PM,100251,200856,K-SWISS 여성에어핏트랙수트,의류,89000,60.0,49377000.0,555.0,2019-04-08,4.0,0.031,월,7.6,17.2,0.0,0.0,36.8,보통
3522,2019-04-08,20,PM,100579,201717,무이자 삼성 엑티브워시 세탁기14kg WA14N6781TG,가전,569000,60.0,36864000.0,65.0,2019-04-08,4.0,0.027999999999999997,월,7.6,17.2,0.0,0.0,36.8,보통
3523,2019-04-08,20,PM,100579,201769,일시불 삼성 엑티브워시 세탁기14kg WA14N6781TG,가전,509000,60.0,81882000.0,161.0,2019-04-08,4.0,0.027999999999999997,월,7.6,17.2,0.0,0.0,36.8,보통
3526,2019-04-08,21,PM,100148,200434,무이자 LG 울트라HD TV 55UK6800HNC,가전,1430000,60.0,31909000.0,23.0,2019-04-08,4.0,0.033,월,7.6,17.2,0.0,0.0,36.8,보통
3527,2019-04-08,21,PM,100148,200443,무이자 LG 울트라HD TV 65UK6800HNC,가전,1930000,60.0,43091000.0,23.0,2019-04-08,4.0,0.033,월,7.6,17.2,0.0,0.0,36.8,보통
3528,2019-04-08,21,PM,100148,200452,무이자 LG 울트라HD TV 70UK7400KNA,가전,2790000,60.0,13909000.0,5.0,2019-04-08,4.0,0.033,월,7.6,17.2,0.0,0.0,36.8,보통
3529,2019-04-08,21,PM,100148,200456,무이자 LG 울트라HD TV 75UK6200KNB,가전,3090000,60.0,23033000.0,8.0,2019-04-08,4.0,0.033,월,7.6,17.2,0.0,0.0,36.8,보통
3530,2019-04-08,21,PM,100148,200501,일시불 LG 울트라HD TV 55UK6800HNC,가전,1300000,60.0,38628000.0,30.0,2019-04-08,4.0,0.033,월,7.6,17.2,0.0,0.0,36.8,보통
3531,2019-04-08,21,PM,100148,200510,일시불 LG 울트라HD TV 65UK6800HNC,가전,1700000,60.0,117569000.0,70.0,2019-04-08,4.0,0.033,월,7.6,17.2,0.0,0.0,36.8,보통
3532,2019-04-08,21,PM,100148,200519,일시불 LG 울트라HD TV 70UK7400KNA,가전,2500000,60.0,18669000.0,8.0,2019-04-08,4.0,0.033,월,7.6,17.2,0.0,0.0,36.8,보통
3533,2019-04-08,21,PM,100148,200524,일시불 LG 울트라HD TV 75UK6200KNB,가전,2800000,60.0,27843000.0,10.0,2019-04-08,4.0,0.033,월,7.6,17.2,0.0,0.0,36.8,보통
3538,2019-04-08,22,PM,100500,201502,(무) 삼익가구 LED 제니비 서랍형 침대 K,가구,649000,60.0,9723000.0,15.0,2019-04-08,4.0,0.013999999999999999,월,7.6,17.2,0.0,0.0,36.8,보통
3539,2019-04-08,22,PM,100500,201503,(무) 삼익가구 LED 제니비 서랍형 침대 Q,가구,599000,60.0,8941000.0,15.0,2019-04-08,4.0,0.013999999999999999,월,7.6,17.2,0.0,0.0,36.8,보통
3540,2019-04-08,22,PM,100500,201504,(무) 삼익가구 LED 제니비 서랍형 침대 SS,가구,549000,60.0,13596000.0,25.0,2019-04-08,4.0,0.013999999999999999,월,7.6,17.2,0.0,0.0,36.8,보통
3541,2019-04-08,22,PM,100500,201508,(일) 삼익가구 LED 제니비 서랍형 침대 K,가구,599000,60.0,20765000.0,35.0,2019-04-08,4.0,0.013999999999999999,월,7.6,17.2,0.0,0.0,36.8,보통
3542,2019-04-08,22,PM,100500,201509,(일) 삼익가구 LED 제니비 서랍형 침대 Q,가구,549000,60.0,19045000.0,35.0,2019-04-08,4.0,0.013999999999999999,월,7.6,17.2,0.0,0.0,36.8,보통
3543,2019-04-08,22,PM,100500,201510,(일) 삼익가구 LED 제니비 서랍형 침대 SS,가구,499000,60.0,45535000.0,92.0,2019-04-08,4.0,0.013999999999999999,월,7.6,17.2,0.0,0.0,36.8,보통
3547,2019-04-08,23,PM,100607,201879,푸마 드라이셀 퓨징 브라세트 패키지,속옷,139000,60.0,92884000.0,669.0,2019-04-08,4.0,0.022000000000000002,월,7.6,17.2,0.0,0.0,36.8,보통
3556,2019-04-09,1,AM,100466,201432,디키즈 윈드브레이커1종,의류,44000,54.66666666666666,41479000.0,943.0,2019-04-09,4.0,0.016,화,4.7,13.9,1.0,0.0,25.76,좋음
3563,2019-04-09,6,AM,100266,200880,마리끌레르 파리컬렉션 리얼 하이드로 립스틱(2019리뉴얼),이미용,39900,60.0,59097000.0,1482.0,2019-04-09,4.0,0.038,화,4.7,13.9,1.0,0.0,25.76,좋음
3565,2019-04-09,7,AM,100117,200318,델첸  4in1 텀블러블랜더,주방,74800,52.36666666666667,55819000.0,747.0,2019-04-09,4.0,0.026000000000000002,화,4.7,13.9,1.0,0.0,25.76,좋음
3570,2019-04-09,8,AM,100596,201828,컬럼비아 남성 베이스레이어 5종,속옷,79000,60.0,45799000.0,580.0,2019-04-09,4.0,0.009000000000000001,화,4.7,13.9,1.0,0.0,25.76,좋음
3571,2019-04-09,8,AM,100596,201830,컬럼비아 여성 베이스레이어 5종,속옷,69000,60.0,17877000.0,260.0,2019-04-09,4.0,0.009000000000000001,화,4.7,13.9,1.0,0.0,25.76,좋음
3574,2019-04-09,9,AM,100305,200989,오모떼 프런트후크 프레쉬 데오브라 시즌3,속옷,89000,60.0,80520000.0,905.0,2019-04-09,4.0,0.04,화,4.7,13.9,1.0,0.0,25.76,좋음
3578,2019-04-09,10,AM,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,60.0,113343000.0,1862.0,2019-04-09,4.0,0.0,화,4.7,13.9,1.0,0.0,25.76,좋음
3581,2019-04-09,11,AM,100783,202293,엔셀라두스 밴딩팬츠 3종,의류,29000,60.0,94771000.0,3268.0,2019-04-09,4.0,0.013000000000000001,화,4.7,13.9,1.0,0.0,25.76,좋음
3583,2019-04-09,12,PM,100635,201945,바로바로 무선청소기,생활용품,89000,60.0,74700000.0,840.0,2019-04-09,4.0,0.0,화,4.7,13.9,1.0,0.0,25.76,좋음
3557,2019-04-09,13,PM,100074,200200,비버리힐스폴로클럽 남성기초세트(골드+플라),이미용,39800,60.0,113519000.0,2853.0,2019-04-09,4.0,0.0,화,4.7,13.9,1.0,0.0,25.76,좋음
3558,2019-04-09,14,PM,100780,202279,쿠미투니카 퍼펙트클린 레이스 브라팬티,속옷,89900,60.0,54453000.0,606.0,2019-04-09,4.0,0.026000000000000002,화,4.7,13.9,1.0,0.0,25.76,좋음
3559,2019-04-09,15,PM,100251,200845,K-SWISS 남성에어핏트랙수트,의류,89000,60.0,72773000.0,818.0,2019-04-09,4.0,0.012,화,4.7,13.9,1.0,0.0,25.76,좋음
3560,2019-04-09,15,PM,100251,200856,K-SWISS 여성에어핏트랙수트,의류,89000,60.0,41454000.0,466.0,2019-04-09,4.0,0.012,화,4.7,13.9,1.0,0.0,25.76,좋음
3561,2019-04-09,16,PM,100255,200868,한일 대용량 스텐 분쇄믹서기,주방,109800,60.0,155117000.0,1413.0,2019-04-09,4.0,0.019,화,4.7,13.9,1.0,0.0,25.76,좋음
3562,2019-04-09,17,PM,100511,201575,자연산 손질 통오징어 21미,농수축,40900,60.0,238672000.0,5836.0,2019-04-09,4.0,0.027000000000000003,화,4.7,13.9,1.0,0.0,25.76,좋음
3564,2019-04-09,18,PM,100704,202069,김정문의 섬진강 재첩국 11팩 3.3kg,농수축,39900,60.0,139897000.0,3507.0,2019-04-09,4.0,0.006,화,4.7,13.9,1.0,0.0,25.76,좋음
3566,2019-04-09,19,PM,100448,201380,무이자 19년 신제품  쿠첸 풀스텐 압력밥솥 10인용(A1),주방,178000,60.0,30966000.0,174.0,2019-04-09,4.0,0.024,화,4.7,13.9,1.0,0.0,25.76,좋음
3567,2019-04-09,19,PM,100448,201381,무이자 쿠첸 압력밥솥 6인용 (A1),주방,158000,60.0,13217000.0,84.0,2019-04-09,4.0,0.024,화,4.7,13.9,1.0,0.0,25.76,좋음
3568,2019-04-09,19,PM,100448,201387,일시불 19년 신제품  쿠첸 풀스텐 압력밥솥 10인용(A1),주방,168000,60.0,61078000.0,364.0,2019-04-09,4.0,0.024,화,4.7,13.9,1.0,0.0,25.76,좋음
3569,2019-04-09,19,PM,100448,201388,일시불 쿠첸 압력밥솥 6인용 (A1),주방,148000,60.0,41371000.0,280.0,2019-04-09,4.0,0.024,화,4.7,13.9,1.0,0.0,25.76,좋음
3572,2019-04-09,20,PM,100150,200465,무이자 LG 통돌이 세탁기,가전,489000,60.0,53000000.0,109.0,2019-04-09,4.0,0.013000000000000001,화,4.7,13.9,1.0,0.0,25.76,좋음
3573,2019-04-09,20,PM,100150,200533,일시불 LG 통돌이 세탁기,가전,439000,60.0,51504000.0,118.0,2019-04-09,4.0,0.013000000000000001,화,4.7,13.9,1.0,0.0,25.76,좋음
3575,2019-04-09,21,PM,100205,200731,보루네오 루나 유로탑 멀티수납형 LED 침대 K 킹,가구,648000,60.0,52531000.0,82.0,2019-04-09,4.0,0.034,화,4.7,13.9,1.0,0.0,25.76,좋음
3576,2019-04-09,21,PM,100205,200732,보루네오 루나 유로탑 멀티수납형 LED 침대 Q 퀸,가구,598000,60.0,63468000.0,107.0,2019-04-09,4.0,0.034,화,4.7,13.9,1.0,0.0,25.76,좋음
3577,2019-04-09,21,PM,100205,200733,보루네오 루나 유로탑 멀티수납형 LED 침대 SS 슈퍼싱글,가구,548000,60.0,55110000.0,101.0,2019-04-09,4.0,0.034,화,4.7,13.9,1.0,0.0,25.76,좋음
3579,2019-04-09,22,PM,100155,200488,무이자 LG전자 매직스페이스 냉장고,가전,1549000,60.0,54635000.0,36.0,2019-04-09,4.0,0.068,화,4.7,13.9,1.0,0.0,25.76,좋음
3580,2019-04-09,22,PM,100155,200555,일시불 LG전자 매직스페이스 냉장고,가전,1409000,60.0,95330000.0,68.0,2019-04-09,4.0,0.068,화,4.7,13.9,1.0,0.0,25.76,좋음
3582,2019-04-09,23,PM,100501,201514,노비타 스마트 비데,생활용품,189000,60.0,97352000.0,516.0,2019-04-09,4.0,0.03,화,4.7,13.9,1.0,0.0,25.76,좋음
3624,2019-04-10,0,AM,100664,202002,크로커다일 감탄 레이스 브라렛 패키지,속옷,89900,60.0,55635000.0,619.0,2019-04-10,4.0,0.038,수,4.7,10.2,1.0,0.0,6.96,좋음
3584,2019-04-10,1,AM,100182,200612,무이자 선일금고 이볼브 시리즈 EV-020,생활용품,440000,55.0,1550000.0,4.0,2019-04-10,4.0,0.023,수,4.7,10.2,1.0,0.0,6.96,좋음
3585,2019-04-10,1,AM,100182,200613,무이자 선일금고 이볼브 시리즈 EV-040,생활용품,490000,55.0,13296000.0,28.0,2019-04-10,4.0,0.023,수,4.7,10.2,1.0,0.0,6.96,좋음
3586,2019-04-10,1,AM,100182,200614,일시불 선일금고 이볼브 시리즈 EV-020,생활용품,400000,55.0,1410000.0,4.0,2019-04-10,4.0,0.023,수,4.7,10.2,1.0,0.0,6.96,좋음
3587,2019-04-10,1,AM,100182,200615,일시불 선일금고 이볼브 시리즈 EV-040,생활용품,450000,55.0,35273000.0,79.0,2019-04-10,4.0,0.023,수,4.7,10.2,1.0,0.0,6.96,좋음
3595,2019-04-10,6,AM,100315,201002,(직매입) 종근당건강 아이클리어 루테인,건강기능,69000,60.0,47392000.0,687.0,2019-04-10,4.0,0.021,수,4.7,10.2,1.0,0.0,6.96,좋음
3599,2019-04-10,7,AM,100335,201046,더블유베일 소프트 마카롱 니트 5종,의류,59000,60.0,52680000.0,893.0,2019-04-10,4.0,0.0,수,4.7,10.2,1.0,0.0,6.96,좋음
3601,2019-04-10,8,AM,100066,200156,무이자 아이넥스 프리미엄 올스텐 싱크선반,주방,94800,60.0,33787000.0,357.0,2019-04-10,4.0,0.019,수,4.7,10.2,1.0,0.0,6.96,좋음
3602,2019-04-10,8,AM,100066,200160,일시불 아이넥스 프리미엄 올스텐 싱크선반,주방,88800,60.0,51053000.0,575.0,2019-04-10,4.0,0.019,수,4.7,10.2,1.0,0.0,6.96,좋음
3604,2019-04-10,9,AM,100097,200265,무이자 올리고 가스와이드그릴레인지 프리미엄형,주방,129000,60.0,31341000.0,243.0,2019-04-10,4.0,0.0,수,4.7,10.2,1.0,0.0,6.96,좋음
3605,2019-04-10,9,AM,100097,200269,일시불 올리고 가스와이드그릴  프리미엄형,주방,119000,60.0,70448000.0,592.0,2019-04-10,4.0,0.0,수,4.7,10.2,1.0,0.0,6.96,좋음
3608,2019-04-10,10,AM,100783,202293,엔셀라두스 밴딩팬츠 3종,의류,29000,60.0,92398000.0,3187.0,2019-04-10,4.0,0.057999999999999996,수,4.7,10.2,1.0,0.0,6.96,좋음
3617,2019-04-10,11,AM,100780,202279,쿠미투니카 퍼펙트클린 레이스 브라팬티,속옷,89900,60.0,77261000.0,860.0,2019-04-10,4.0,0.016,수,4.7,10.2,1.0,0.0,6.96,좋음
3625,2019-04-10,12,PM,100849,202510,멋진밥상 흥양농협 쌀 20kg,농수축,59900,60.0,151739000.0,2534.0,2019-04-10,4.0,0.01,수,4.7,10.2,1.0,0.0,6.96,좋음
3588,2019-04-10,13,PM,100251,200845,K-SWISS 남성에어핏트랙수트,의류,89000,60.0,77411000.0,870.0,2019-04-10,4.0,0.005,수,4.7,10.2,1.0,0.0,6.96,좋음
3589,2019-04-10,13,PM,100251,200856,K-SWISS 여성에어핏트랙수트,의류,89000,60.0,41209000.0,464.0,2019-04-10,4.0,0.005,수,4.7,10.2,1.0,0.0,6.96,좋음
3590,2019-04-10,14,PM,100516,201580,무이자 해피콜 크로커다일 IH후라이팬,주방,99000,60.0,29852000.0,302.0,2019-04-10,4.0,0.003,수,4.7,10.2,1.0,0.0,6.96,좋음
3591,2019-04-10,14,PM,100516,201581,일시불  해피콜 크로커다일 IH 후라이팬,주방,90000,60.0,61555000.0,684.0,2019-04-10,4.0,0.003,수,4.7,10.2,1.0,0.0,6.96,좋음
3592,2019-04-10,15,PM,100080,200219,아키 풀커버 라이크라 레이스 패키지(106차),속옷,89900,60.0,102365000.0,1139.0,2019-04-10,4.0,0.013000000000000001,수,4.7,10.2,1.0,0.0,6.96,좋음
3593,2019-04-10,16,PM,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,60.0,109694000.0,1802.0,2019-04-10,4.0,0.027000000000000003,수,4.7,10.2,1.0,0.0,6.96,좋음
3594,2019-04-10,17,PM,100492,201485,피시원 국내산 손질꽃게 7팩,농수축,59900,60.0,113349000.0,1893.0,2019-04-10,4.0,0.015,수,4.7,10.2,1.0,0.0,6.96,좋음
3596,2019-04-10,18,PM,100224,200778,리복 델타 피트니스 트렁크 8종,속옷,89000,60.0,13305000.0,150.0,2019-04-10,4.0,0.0,수,4.7,10.2,1.0,0.0,6.96,좋음
3597,2019-04-10,18,PM,100224,200781,리복 스피드윅 드로즈 12종,속옷,89000,60.0,54508000.0,613.0,2019-04-10,4.0,0.0,수,4.7,10.2,1.0,0.0,6.96,좋음
3598,2019-04-10,18,PM,100224,200782,리복 스피드윅 런닝 6종,속옷,89000,60.0,12702000.0,143.0,2019-04-10,4.0,0.0,수,4.7,10.2,1.0,0.0,6.96,좋음
3600,2019-04-10,19,PM,100809,202394,CERINI by PAT 남성 캐주얼 셔츠 4종,의류,69900,60.0,77024000.0,1102.0,2019-04-10,4.0,0.023,수,4.7,10.2,1.0,0.0,6.96,좋음
3603,2019-04-10,20,PM,100808,202378,CERINI by PAT 남성 스프링 릴렉스 팬츠 3종,의류,69900,60.0,147179000.0,2106.0,2019-04-10,4.0,0.019,수,4.7,10.2,1.0,0.0,6.96,좋음
3606,2019-04-10,21,PM,100579,201717,무이자 삼성 엑티브워시 세탁기14kg WA14N6781TG,가전,569000,60.0,30407000.0,54.0,2019-04-10,4.0,0.008,수,4.7,10.2,1.0,0.0,6.96,좋음
3607,2019-04-10,21,PM,100579,201769,일시불 삼성 엑티브워시 세탁기14kg WA14N6781TG,가전,509000,60.0,59602000.0,118.0,2019-04-10,4.0,0.008,수,4.7,10.2,1.0,0.0,6.96,좋음
3609,2019-04-10,22,PM,100148,200434,무이자 LG 울트라HD TV 55UK6800HNC,가전,1430000,60.0,28265000.0,20.0,2019-04-10,4.0,0.0,수,4.7,10.2,1.0,0.0,6.96,좋음
3610,2019-04-10,22,PM,100148,200443,무이자 LG 울트라HD TV 65UK6800HNC,가전,1930000,60.0,38206000.0,20.0,2019-04-10,4.0,0.0,수,4.7,10.2,1.0,0.0,6.96,좋음
3611,2019-04-10,22,PM,100148,200452,무이자 LG 울트라HD TV 70UK7400KNA,가전,2790000,60.0,6942000.0,3.0,2019-04-10,4.0,0.0,수,4.7,10.2,1.0,0.0,6.96,좋음
3612,2019-04-10,22,PM,100148,200456,무이자 LG 울트라HD TV 75UK6200KNB,가전,3090000,60.0,0.0,0.0,2019-04-10,4.0,0.0,수,4.7,10.2,1.0,0.0,6.96,좋음
3613,2019-04-10,22,PM,100148,200501,일시불 LG 울트라HD TV 55UK6800HNC,가전,1300000,60.0,22538000.0,18.0,2019-04-10,4.0,0.0,수,4.7,10.2,1.0,0.0,6.96,좋음
3614,2019-04-10,22,PM,100148,200510,일시불 LG 울트라HD TV 65UK6800HNC,가전,1700000,60.0,75594000.0,45.0,2019-04-10,4.0,0.0,수,4.7,10.2,1.0,0.0,6.96,좋음
3615,2019-04-10,22,PM,100148,200519,일시불 LG 울트라HD TV 70UK7400KNA,가전,2500000,60.0,6223000.0,3.0,2019-04-10,4.0,0.0,수,4.7,10.2,1.0,0.0,6.96,좋음
3616,2019-04-10,22,PM,100148,200524,일시불 LG 울트라HD TV 75UK6200KNB,가전,2800000,60.0,0.0,0.0,2019-04-10,4.0,0.0,수,4.7,10.2,1.0,0.0,6.96,좋음
3618,2019-04-10,23,PM,100205,200700,(무)보루네오 유로탑 가죽 침대 슈퍼싱글,가구,649000,60.0,7267000.0,12.0,2019-04-10,4.0,0.006999999999999999,수,4.7,10.2,1.0,0.0,6.96,좋음
3619,2019-04-10,23,PM,100205,200701,(무)보루네오 유로탑 가죽 침대 퀸,가구,699000,60.0,17475000.0,25.0,2019-04-10,4.0,0.006999999999999999,수,4.7,10.2,1.0,0.0,6.96,좋음
3620,2019-04-10,23,PM,100205,200702,(무)보루네오 유로탑 가죽 침대 킹,가구,749000,60.0,24973000.0,34.0,2019-04-10,4.0,0.006999999999999999,수,4.7,10.2,1.0,0.0,6.96,좋음
3621,2019-04-10,23,PM,100205,200717,(일)보루네오 유로탑 가죽 침대 슈퍼싱글,가구,589000,60.0,17918000.0,31.0,2019-04-10,4.0,0.006999999999999999,수,4.7,10.2,1.0,0.0,6.96,좋음
3622,2019-04-10,23,PM,100205,200718,(일)보루네오 유로탑 가죽 침대 퀸,가구,639000,60.0,28272000.0,45.0,2019-04-10,4.0,0.006999999999999999,수,4.7,10.2,1.0,0.0,6.96,좋음
3623,2019-04-10,23,PM,100205,200719,(일)보루네오 유로탑 가죽 침대 킹,가구,689000,60.0,19170000.0,28.0,2019-04-10,4.0,0.006999999999999999,수,4.7,10.2,1.0,0.0,6.96,좋음
3659,2019-04-11,0,AM,100374,201198,19 SS USPA  남성 화이트라벨 폴로셔츠 3종,의류,79000,60.0,42151000.0,534.0,2019-04-11,4.0,0.017,목,4.3,15.7,0.0,0.0,27.04,좋음
3660,2019-04-11,0,AM,100374,201199,19 SS USPA  여성 화이트라벨 폴로셔츠 3종,의류,79000,60.0,48294000.0,612.0,2019-04-11,4.0,0.017,목,4.3,15.7,0.0,0.0,27.04,좋음
3626,2019-04-11,1,AM,100464,201427,디키즈 성인 스테디움점퍼세트,의류,59000,55.0,24725000.0,420.0,2019-04-11,4.0,0.009000000000000001,목,4.3,15.7,0.0,0.0,27.04,좋음
3627,2019-04-11,1,AM,100464,201431,디키즈 아동 스테디움점퍼세트,의류,54000,55.0,3522000.0,66.0,2019-04-11,4.0,0.009000000000000001,목,4.3,15.7,0.0,0.0,27.04,좋음
3634,2019-04-11,6,AM,100115,200314,무이자 메디컬드림 롤링마사지기 (KMD-970),생활용품,108000,60.0,12241000.0,114.0,2019-04-11,4.0,0.0,목,4.3,15.7,0.0,0.0,27.04,좋음
3635,2019-04-11,6,AM,100115,200315,일시불 메디컬드림 롤링마사지기 (KMD-970),생활용품,100000,60.0,39355000.0,394.0,2019-04-11,4.0,0.0,목,4.3,15.7,0.0,0.0,27.04,좋음
3638,2019-04-11,7,AM,100478,201453,파뷔에 항균도마 1+1세트,주방,49800,60.0,124130000.0,2493.0,2019-04-11,4.0,0.034,목,4.3,15.7,0.0,0.0,27.04,좋음
3642,2019-04-11,8,AM,100596,201828,컬럼비아 남성 베이스레이어 5종,속옷,79000,60.0,49541000.0,628.0,2019-04-11,4.0,0.012,목,4.3,15.7,0.0,0.0,27.04,좋음
3643,2019-04-11,8,AM,100596,201830,컬럼비아 여성 베이스레이어 5종,속옷,69000,60.0,17397000.0,253.0,2019-04-11,4.0,0.012,목,4.3,15.7,0.0,0.0,27.04,좋음
3646,2019-04-11,9,AM,100466,201432,디키즈 윈드브레이커1종,의류,44000,60.0,118280000.0,2689.0,2019-04-11,4.0,0.027999999999999997,목,4.3,15.7,0.0,0.0,27.04,좋음
3648,2019-04-11,10,AM,100635,201945,바로바로 무선청소기,생활용품,89000,60.0,86118000.0,968.0,2019-04-11,4.0,0.013000000000000001,목,4.3,15.7,0.0,0.0,27.04,좋음
3651,2019-04-11,11,AM,100749,202190,레코바 남성 다이얼워킹화세트,잡화,54900,60.0,47463000.0,865.0,2019-04-11,4.0,0.024,목,4.3,15.7,0.0,0.0,27.04,좋음
